"date","year","epiweek","abbreviation","location","location_name","q_0.025","q_0.25","q_0.50","q_0.75","q_0.975"
2010-10-16,2010,41,"WA","53","Washington",0.09,0.3,0.56,1.03,3.38
2010-10-16,2010,41,"WV","54","West Virginia",0.06,0.21,0.39,0.72,2.34
2010-10-16,2010,41,"WI","55","Wisconsin",0.12,0.39,0.73,1.36,4.45
2010-10-16,2010,41,"WY","56","Wyoming",0.04,0.12,0.22,0.41,1.34
2010-10-16,2010,41,"PR","72","Puerto Rico",0.41,4.46,15.47,52.8,433.41
2010-10-16,2010,41,"VI","78","Virgin Islands",0.12,2.21,9.99,44.39,537.67
2010-10-23,2010,42,"AL","01","Alabama",0.15,0.5,0.92,1.72,5.6
2010-10-23,2010,42,"AK","02","Alaska",0.05,0.16,0.29,0.54,1.79
2010-10-23,2010,42,"AZ","04","Arizona",2.53,8.23,15.23,28.1,88.25
2010-10-23,2010,42,"AR","05","Arkansas",0.09,0.29,0.53,0.99,3.24
2010-10-23,2010,42,"CA","06","California",1.39,4.54,8.44,15.64,50.19
2010-10-23,2010,42,"CO","08","Colorado",1.14,3.7,6.85,12.69,40.64
2010-10-23,2010,42,"CT","09","Connecticut",1.41,4.6,8.54,15.82,50.57
2010-10-23,2010,42,"DE","10","Delaware",0.88,2.87,5.32,9.88,31.83
2010-10-23,2010,42,"DC","11","District of Columbia",0.07,0.22,0.4,0.75,2.49
2010-10-23,2010,42,"FL","12","Florida",0.09,0.83,2.67,8.54,76.23
2010-10-23,2010,42,"GA","13","Georgia",1.04,3.39,6.29,11.66,37.55
2010-10-23,2010,42,"HI","15","Hawaii",4.53,14.78,27.36,50.3,154.01
2010-10-23,2010,42,"ID","16","Idaho",0.55,3.55,9.39,24.68,146.73
2010-10-23,2010,42,"IL","17","Illinois",2.39,7.75,14.34,26.47,83.36
2010-10-23,2010,42,"IN","18","Indiana",0.07,0.22,0.4,0.74,2.42
2010-10-23,2010,42,"IA","19","Iowa",0.09,0.28,0.52,0.96,3.13
2010-10-23,2010,42,"KS","20","Kansas",2.91,9.51,17.63,32.58,102.17
2010-10-23,2010,42,"KY","21","Kentucky",0.16,0.52,0.97,1.81,5.87
2010-10-23,2010,42,"LA","22","Louisiana",0.19,0.61,1.13,2.11,6.87
2010-10-23,2010,42,"ME","23","Maine",0.07,0.43,1.12,2.94,18.35
2010-10-23,2010,42,"MD","24","Maryland",0.15,0.5,0.93,1.73,5.63
2010-10-23,2010,42,"MA","25","Massachusetts",0.08,0.27,0.5,0.93,3.04
2010-10-23,2010,42,"MI","26","Michigan",0.69,4.03,10.14,25.39,138.29
2010-10-23,2010,42,"MN","27","Minnesota",0.19,0.6,1.12,2.09,6.78
2010-10-23,2010,42,"MS","28","Mississippi",0.06,0.33,0.85,2.18,12.98
2010-10-23,2010,42,"MO","29","Missouri",0.48,1.57,2.91,5.4,17.49
2010-10-23,2010,42,"MT","30","Montana",0.08,0.45,1.11,2.74,15.18
2010-10-23,2010,42,"NE","31","Nebraska",0.05,0.18,0.33,0.61,1.97
2010-10-23,2010,42,"NV","32","Nevada",0.45,2.61,6.54,16.32,90.14
2010-10-23,2010,42,"NH","33","New Hampshire",0.05,0.18,0.33,0.62,2.03
2010-10-23,2010,42,"NJ","34","New Jersey",0.09,0.74,2.24,6.74,54.02
2010-10-23,2010,42,"NM","35","New Mexico",0.09,0.29,0.54,1,3.26
2010-10-23,2010,42,"NY","36","New York",1.22,3.99,7.4,13.7,43.89
2010-10-23,2010,42,"NC","37","North Carolina",0.1,0.33,0.62,1.15,3.74
2010-10-23,2010,42,"ND","38","North Dakota",0.09,0.29,0.54,1,3.25
